ID,TEMP,REL HUMIDITY,DEW POINT,CO2,CH4,SO2,NH3,O3,O2,PM 2_5,PM_10,Avg_AQI
4783,27.87,71.89,18.97,0.177,1.2486,0.77,6.74,1.1695,0.0269,0.4253,217,37.64192222
4784,27.88,71.9,18.98,0.1776,1.2439,0.75,6.78,1.1707,0.0269,0.4247,216,37.53375556
4785,27.88,71.93,18.98,0.1763,1.2483,0.72,6.86,1.2109,0.027,0.4251,216,37.54195556
4786,27.87,71.95,18.98,0.1786,1.249,0.73,6.85,1.1722,0.0269,0.4264,215,37.42812222
4787,27.88,71.95,18.99,0.1762,1.2477,0.75,6.77,1.1711,0.0269,0.4232,214,37.31834444
4788,27.88,71.95,18.99,0.1738,1.2436,0.72,7,1.1712,0.027,0.4276,214,37.31813333
4789,27.88,71.95,18.99,0.1785,1.1916,0.77,6.82,1.1705,0.0269,0.4244,213,37.20132222
4790,27.88,71.98,18.99,0.1757,1.2461,0.74,7.05,1.1711,0.027,0.4259,211,36.98842222
4791,27.89,72.02,19.01,0.1788,1.2881,0.7,6.81,1.1707,0.027,0.4265,211,37.00123333
4792,27.89,72.02,19.01,0.1755,1.2483,0.68,6.89,1.1703,0.0269,0.4257,211,36.9963
4793,27.89,72.02,19.01,0.176,1.2482,0.73,6.91,1.1708,0.027,0.4243,210,36.88514444
4794,27.89,72.08,19.02,0.1775,1.2475,0.67,7.06,1.1709,0.027,0.4263,210,36.89324444
4795,27.88,72.07,19.01,0.178,1.2422,0.7,6.95,1.1712,0.027,0.4265,210,36.88943333
4796,27.88,72.1,19.01,0.1759,1.2467,0.78,6.88,1.1709,0.027,0.4277,210,36.89313333
4797,27.89,72.11,19.02,0.1782,1.246,0.69,6.85,1.1705,0.0269,0.4268,210,36.89648889
4798,27.85,72.1,18.99,0.1838,1.2255,0.72,6.91,1.1688,0.0268,0.4256,212,37.10783333
4799,27.88,72.13,19.02,0.1774,1.2465,0.79,6.8,1.169,0.027,0.4249,212,37.11942222
4800,27.88,72.13,19.02,0.177,1.2475,0.81,6.97,1.1694,0.0269,0.4639,212,37.12385556
4801,27.88,72.16,19.02,0.1783,1.2462,0.69,6.81,1.1704,0.0269,0.4255,212,37.12303333
4802,27.88,72.19,19.03,0.179,1.2472,0.76,6.71,1.1701,0.027,0.4241,212,37.12748889
4803,27.88,72.19,19.03,0.172,1.2431,0.69,6.87,1.1682,0.0268,0.4244,211,37.01494444
4804,27.87,72.22,19.03,0.1786,1.2477,0.75,7.14,1.1658,0.027,0.4248,211,37.01821111
4805,27.88,72.22,19.03,0.1774,1.2467,0.72,6.91,1.1679,0.027,0.4247,211,37.0193
4806,27.88,72.22,19.03,0.1778,1.2454,0.72,6.79,1.1697,0.0269,0.4245,211,37.01936667
4807,27.88,72.19,19.03,0.1799,1.2477,0.69,6.92,1.1712,0.0269,0.4251,210,36.90564444
4808,27.88,72.19,19.03,0.1775,1.2475,0.75,6.69,1.1706,0.0269,0.428,209,36.7945
4809,27.88,72.19,19.03,0.1769,1.2484,0.77,6.87,1.1705,0.027,0.4253,209,36.79423333
4810,27.88,72.19,19.03,0.1778,1.2458,0.67,6.86,1.1704,0.0269,0.4251,209,36.794
4811,27.9,72.2,19.05,0.1783,1.2468,0.67,6.66,1.17,0.0267,0.4248,209,36.79962222
4812,27.88,72.16,19.02,0.1776,1.2469,0.79,6.81,1.1697,0.0269,0.4279,209,36.78988889
4813,27.89,72.17,19.03,0.1762,1.2477,0.74,6.97,1.1707,0.0271,0.4265,210,36.90424444
4814,27.9,72.14,19.03,0.1768,1.2465,0.72,6.95,1.1698,0.027,0.4249,209,36.79055556
4815,27.88,72.13,19.02,0.1794,1.2473,0.72,7.27,1.1708,0.0269,0.4249,209,36.78658889
4816,27.9,72.11,19.03,0.1771,1.2485,0.69,6.95,1.1668,0.027,0.427,208,36.67626667
4817,27.89,72.08,19.02,0.1777,1.248,0.69,6.75,1.1685,0.0269,0.425,207,36.55956667
4818,27.9,72.08,19.02,0.1771,1.2466,0.68,6.87,1.1701,0.027,0.4245,205,36.33836667
4819,27.88,72.04,19,0.1749,1.2387,0.69,6.92,1.1667,0.0267,0.4262,204,36.21702222
4820,27.88,72.07,19.01,0.1789,1.2436,0.68,6.96,1.1645,0.027,0.4261,204,36.22223333
4821,27.86,72.07,18.99,0.1782,1.2476,0.73,6.93,1.1666,0.0269,0.4248,202,35.99601111
4822,27.87,72.07,19,0.1769,1.2477,0.73,6.99,1.1681,0.027,0.4284,199,35.66534444
4823,27.86,72.07,18.99,0.1766,1.2482,0.71,6.75,1.1683,0.0269,0.4245,198,35.55161111
4824,27.86,72.04,18.99,0.1765,1.2487,0.73,6.81,1.168,0.0269,0.4259,197,35.43733333
4825,27.85,72.07,18.98,0.1743,1.2476,0.72,6.58,1.1693,0.0269,0.428,197,35.43845556
4826,27.86,72.01,18.98,0.1792,1.2881,0.72,6.83,1.1659,0.027,0.4244,197,35.43717778
4827,27.87,72.04,18.99,0.1791,1.2887,0.67,6.85,1.1675,0.027,0.4266,197,35.44321111
4828,27.86,72.01,18.98,0.1781,1.2477,0.73,7.01,1.1682,0.027,0.4255,197,35.43294444
4829,27.87,72.01,18.99,0.1766,1.2462,0.69,6.69,1.167,0.0279,0.4256,198,35.54592222
4830,27.87,71.98,18.98,0.1724,1.2483,0.78,6.79,1.1663,0.027,0.4248,198,35.54097778
4831,27.86,71.98,18.98,0.1774,1.2447,0.64,6.69,1.1671,0.0269,0.4264,199,35.65138889
4832,27.86,71.98,18.98,0.1764,1.2477,0.73,6.75,1.1667,0.027,0.4258,200,35.76262222
4833,27.86,71.98,18.98,0.1767,1.2472,0.71,7.04,1.1672,0.027,0.4269,200,35.76277778
4834,27.86,72.01,18.98,0.1791,1.2478,0.76,6.87,1.1676,0.0268,0.4265,200,35.76642222
4835,27.86,72.01,18.98,0.1768,1.2152,0.72,7.08,1.1692,0.0269,0.4274,200,35.76283333
4836,27.85,72.01,18.97,0.1784,1.2487,0.72,7.06,1.1699,0.0269,0.4246,199,35.65316667
4837,27.86,72.01,18.98,0.1788,1.2454,0.75,6.77,1.1685,0.0269,0.4266,199,35.65513333
4838,27.84,72.04,18.97,0.1781,1.2423,0.64,6.69,1.1691,0.027,0.4268,199,35.65481111
4839,27.83,72.07,18.97,0.1784,1.2478,0.69,6.87,1.1691,0.0269,0.4257,198,35.54643333
4840,27.84,72.07,18.98,0.1775,1.2488,0.69,6.71,1.1694,0.027,0.4294,198,35.54912222
4841,27.85,72.04,18.98,0.1778,1.2489,0.72,6.76,1.1695,0.0268,0.4251,198,35.54645556
4842,27.84,72.07,18.98,0.1775,1.2879,0.73,6.87,1.1706,0.0269,0.4272,198,35.55334444
4843,27.83,72.07,18.97,0.1754,1.2461,0.74,7.12,1.1675,0.0269,0.4247,198,35.54562222
4844,27.84,72.07,18.98,0.1774,1.2443,0.67,7.02,1.168,0.0269,0.4249,198,35.54794444
4845,27.84,72.07,18.98,0.1783,1.2478,0.72,6.98,1.1689,0.027,0.4245,199,35.65961111
4846,27.84,72.07,18.98,0.1767,1.2471,0.68,6.77,1.169,0.027,0.4242,199,35.65933333
4847,27.85,72.07,18.98,0.1774,1.2233,0.72,6.86,1.1701,0.0269,0.4245,201,35.88024444
4848,27.84,72.07,18.98,0.1783,1.2131,0.66,6.87,1.1707,0.027,0.4268,203,36.10065556
4849,27.83,72.09,18.97,0.1783,1.2484,0.7,7.07,1.1701,0.0269,0.4255,205,36.32657778
4850,27.84,72.07,18.98,0.1764,1.2477,0.7,7.05,1.1701,0.027,0.4266,206,36.43753333
4851,27.85,72.1,18.99,0.1781,1.2195,0.69,6.69,1.1703,0.0269,0.4249,208,36.66218889
4852,27.85,72.1,18.99,0.1776,1.2488,0.7,6.88,1.17,0.0269,0.4255,210,36.88764444
4853,27.85,72.1,18.99,0.1785,1.2212,0.77,6.87,1.1702,0.027,0.4239,212,37.10675556
4854,27.86,72.1,19,0.1783,1.2489,0.7,6.66,1.1698,0.027,0.4274,214,37.3346
4855,27.84,72.1,18.98,0.1784,1.2885,0.67,6.67,1.1705,0.0269,0.4246,216,37.55654444
4856,27.83,72.18,18.99,0.1732,1.2467,0.75,6.93,1.1708,0.0269,0.425,217,37.6714
4857,27.84,72.19,19,0.1771,1.248,0.77,6.76,1.1699,0.0269,0.425,217,37.67521111
4858,27.83,72.18,18.99,0.1764,1.2475,0.64,6.91,1.1698,0.0269,0.4266,217,37.67191111
4859,27.84,72.19,19,0.1773,1.2487,0.76,6.95,1.1697,0.027,0.4262,217,37.67543333
4860,27.84,72.19,19,0.1754,1.2479,0.71,6.84,1.1702,0.027,0.4244,217,37.67498889
4861,27.83,72.24,19,0.1782,1.2436,0.7,6.71,1.1695,0.027,0.4243,217,37.67917778
4862,27.82,72.27,19,0.1769,1.2459,0.68,6.91,1.17,0.0269,0.4244,217,37.68156667
4863,27.84,72.28,19.01,0.1778,1.248,0.67,7.16,1.17,0.027,0.4278,215,37.46451111
4864,27.82,72.33,19.01,0.1773,1.2483,0.7,6.62,1.1695,0.0271,0.4244,214,37.35628889
4865,27.83,72.36,19.02,0.1774,1.2472,0.7,7.12,1.1699,0.0269,0.4248,213,37.25068889
4866,27.82,72.39,19.02,0.1785,1.2452,0.66,6.88,1.1702,0.0269,0.4235,212,37.14158889
4867,27.82,72.42,19.02,0.1759,1.2485,0.76,7.06,1.1706,0.0269,0.4251,212,37.14522222
4868,27.83,72.48,19.04,0.1778,1.2466,0.7,7.08,1.1709,0.0269,0.4244,210,36.93295556
4869,27.83,72.48,19.04,0.1789,1.2452,0.7,6.95,1.1709,0.0269,0.4261,209,36.822
4870,27.84,72.48,19.05,0.1783,1.2475,0.69,6.89,1.1715,0.027,0.4246,209,36.82432222
4871,27.82,72.51,19.04,0.1771,1.1984,0.68,7.01,1.1722,0.0269,0.4272,209,36.81908889
4872,27.84,72.51,19.06,0.1772,1.2476,0.76,6.9,1.2108,0.027,0.4247,209,36.83303333
4873,27.83,72.54,19.05,0.1775,1.2462,0.75,6.85,1.1712,0.027,0.4243,209,36.82957778
4874,27.83,72.54,19.05,0.1771,1.2881,0.79,6.84,1.1706,0.0269,0.4247,210,36.94526667
4875,27.81,72.6,19.05,0.1766,1.2489,0.76,6.88,1.1708,0.027,0.425,211,37.05647778
4876,27.84,72.6,19.07,0.1764,1.2879,0.75,6.96,1.1705,0.0269,0.4246,213,37.28847778
4877,27.84,72.6,19.07,0.1785,1.2634,0.7,6.83,1.1706,0.0269,0.4256,214,37.39722222
4878,27.84,72.63,19.08,0.1764,1.2469,0.75,7.03,1.1704,0.0269,0.4245,215,37.51056667
4879,27.83,72.66,19.07,0.1772,1.248,0.69,6.87,1.1715,0.0269,0.4244,215,37.512
4880,27.84,72.66,19.08,0.1763,1.2479,0.7,7.08,1.171,0.027,0.4249,217,37.73634444
4881,27.84,72.69,19.09,0.1752,1.2486,0.77,6.83,1.1694,0.0267,0.426,217,37.74065556
4882,27.83,72.72,19.08,0.1778,1.2478,0.7,6.91,1.166,0.0267,0.4253,217,37.74151111
4883,27.82,72.72,19.08,0.1774,1.2487,0.63,7.14,1.1686,0.0269,0.4242,217,37.74064444
4884,27.83,72.75,19.09,0.1763,1.247,0.7,7.01,1.1668,0.0269,0.4249,217,37.74576667
4885,27.81,72.81,19.09,0.1785,1.2487,0.7,6.85,1.1661,0.027,0.4237,217,37.75044444
4886,27.81,72.81,19.09,0.1774,1.248,0.67,6.93,1.1689,0.027,0.4274,217,37.75096667
